Index,User1.ID,User2.ID,User1.SN,User2.SN,User1.N,User2.N,L1LR-Linear.prob
3684381,3183813180,3110056502,'BintMaimouna_06','Bint_maimouna4','UkthInBlack-AlHindi','UkthInBlack-Al-Hindi',0.958
3690085,3292737401,3342939081,'BintRose12','BintRose20','Amal','Amal',0.838
3690086,3292737401,3382211727,'BintRose12','BintRose24','Amal','Amal',0.838
3692943,3342939081,3382211727,'BintRose20','BintRose24','Amal','Amal',0.838
3718620,3159143144,3322759103,'Bint_Hijrateyn','Bint_HijratEyn','Umm Zubaydah','Umm Zubaydah',0.979
3718621,3159143144,3518503572,'Bint_Hijrateyn','bint_Hijrateyn','Umm Zubaydah','Umm Zubaydah',0.874
3721468,3322759103,3518503572,'Bint_HijratEyn','bint_Hijrateyn','Umm Zubaydah','Umm Zubaydah',0.874
3814891,3161819610,3227967755,'boyjannatul2','BoyJannatul4','Jannatul Ferdous','Jannatul Ferdous',0.973
3814892,3161819610,3312888844,'boyjannatul2','BoyJannatul7','Jannatul Ferdous','Jannatul Ferdous',0.845
3817705,3227967755,3312888844,'BoyJannatul4','BoyJannatul7','Jannatul Ferdous','Jannatul Ferdous',0.845
3834568,800380226,3287689489,'BravePerson','braveperson2',' M._-_-_-','M._-_-_-',0.802
4061421,3162519534,3231744980,'creeppingsharia','creepsharia','Dawlat Al Islam','Dawlat Al Islam',0.816
4103285,3196391511,3292501409,'C_cauliflora','L_Caseii','Umm Amira ','Umm Amira',0.844
4126545,3201644290,3302393271,'Dabiq_Witness','Dabiq___witness','Dabiq Witness','Dabiq Witness',0.849
4127212,3201644290,3136104895,'Dabiq_Witness','IraqWitness_','Dabiq Witness','Iraq Witness',0.831
4142736,16742080,39820438,'DailyHadith','DailyHadiths','Daily Hadith','Daily Hadiths',0.822
4228480,3174349415,3305051230,'dawlah104','dawlah115','Umm Omer alAlbani','Umm Omer alAlbani',0.960
4345046,811476025,3385051511,'die_in_ur_rage','hajirah02','Knights Of Ummah ','Knights of Ummah ',0.839
4443525,3224042655,3179811454,'dugma4europe','dugma4uk','Abu Abdullah Britani','Abu Abdullah Britani',0.950
4445601,3224042655,3230033176,'dugma4europe','Time4Dugma','Abu Abdullah Britani','Abu Abdullah Britani',0.902
4448181,3179811454,3230033176,'dugma4uk','Time4Dugma','Abu Abdullah Britani','Abu Abdullah Britani',0.925
4623178,3383129963,3380190820,'enkorela','ouaicheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.835
4623179,3383129963,3381548601,'enkorela','ouaisheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.835
4631818,3258570223,3314768150,'EPlC0','EPlC8','EPIC','EPIC',0.962
4631819,3258570223,3261959960,'EPlC0','EPlCq','EPIC','EPIC',0.962
4634325,3314768150,3261959960,'EPlC8','EPlCq','EPIC','EPIC',0.962
4644343,3148091257,3148072153,'ErshadChowdhu10','ErshadChowdhur9','Ershad Chowdhury','Ershad Chowdhury',0.969
4680635,499678323,572133937,'eyes_omah_','ommahh__is','The eyes of the nation','The eyes of the nation',0.913
4711548,3300228470,3434051500,'fahad_9505','fah_non90','_Leopard_','_ Leopard_',0.915
4906915,3347379832,3303616168,'freelance500','john_freelance','Freelance','john freelance',0.800
4913568,1587194821,3363985630,'FrereSasouke','FrereSasouke','FRxc8RE SASOUKxc9','FRxc8RE SASOUKxc9 ',0.851
4982530,3167219856,3316486382,'GegiRose','GegiRose','Gegi Rose','Gegi Rose',0.874
4982531,3167219856,3318769315,'GegiRose','GegiRose','Gegi Rose','Gegi Rose',0.874
4984893,3316486382,3318769315,'GegiRose','GegiRose','Gegi Rose','Gegi Rose',0.874
5024911,3286285176,3414989986,'ghootta','ghootta','Gota campaign Tstsrkhkm','Gota campaign Tstsrkhkm',0.874
5113318,3344099602,3313646306,'gtx1gt10','gtxgt11','Hossam Tunisian','Hossam Tunisian',0.795
5119132,2244186592,2980331423,'GuGuraba','Oum_Ghuraba','guraba','ghuraba',0.925
5140936,3410276441,3280365311,'habeshi2269','habeshi269','habeshi ','habeshi ',0.976
5168459,3238735101,3103874390,'hafsakahn101','hasan786khan123','Hafsa Khan','Hasan khan ',0.835
5473982,3175447246,3178074927,'H_o_o_o_o_o_o_r','_Love_HoorAlAyn','Mujahid Miski','Mujahid Miski ',0.858
5572608,1698386168,2655639390,'Ibn_Umar7','Omar___1435','Omar','Omar',0.854
5577592,1559098904,1439981568,'ibraheem_umm','ummmusa5','umm musa','ummmusa',0.785
5577638,1559098904,1169382506,'ibraheem_umm','umm_2','umm musa','umm musa',0.873
5580141,370697133,3046138459,'IbrahimAbuBosna','islamicst6','ibrahim','ibrahim',0.861
5818365,3306131926,3351400845,'IslamicxEA','IslamicxEA','Islamic East Africa','Islamic East Africa2',0.853
5818369,3306131926,3169962269,'IslamicxEA','ISLAMlC_EA','Islamic East Africa','Islamic East Africa',0.795
5820346,3351400845,3169962269,'IslamicxEA','ISLAMlC_EA','Islamic East Africa2','Islamic East Africa',0.955
5836131,413945918,3108868708,'Islamshining','Islamshining','Shining Islam','Shining Islam',0.979
5836132,413945918,3716963055,'Islamshining','Islamshining','Shining Islam','Shining Islam',0.979
5838100,3108868708,3716963055,'Islamshining','Islamshining','Shining Islam','Shining Islam',0.979
5849151,3242800528,3227505297,'Islam_Will_Rule','Sharia_4Mankind','Hallie Sheikh','Hallie Sheikh',0.842
5904451,3071112370,3332333020,'IzetBin2','IzetBin3','Black Panther','Black Panther',0.828
5944855,3161858371,3274065140,'janah_desire','janah_desire','binta adam','Binta Adam',0.874
6007456,3322896635,3032353648,'jimmydeen1436','jimmydeen4','Jimmy Deen','Jimmy Deen',0.969
6076351,3162163805,3200179301,'jundu_llah','jund_ullah_','jundullah','Jundullah',0.821
6098046,3159108136,2302280260,'JustUkhtMaryam','ummmariyam','Umm Maryam','umm mariyam',0.906
6156496,3124646433,3249162867,'KautharAbu','kauthar_abu','Abu Kauthar Somali','Abu Kauthar Somali',0.858
6240431,3437106737,3389910138,'KhilafahSniper','MuwahidSniper','AbuQitaali AlMuhajir','AbuQitaali AlMuhajir',0.933
6253956,3225821044,3272543190,'Khlifa14_','Khlifa171','Khilafah Superstate','Khilafah Superstate',0.784
6329747,2899936720,3139743974,'K_H_O086','K_H_O99908260','Abu Mohammed al-Khorasani','Abu Mohammed al-Khorasani',0.958
6329748,2899936720,3180033978,'K_H_O086','K_H_O99908268','Abu Mohammed al-Khorasani','Abu Mohammed al-Khorasani',0.958
6333145,3139743974,3180033978,'K_H_O99908260','K_H_O99908268','Abu Mohammed al-Khorasani','Abu Mohammed al-Khorasani',0.973
6631762,3181500716,3183951258,'media__umma','___Baiji___','Un-Brainwash Media','Un-Brainwash Media',0.844
6815791,3321657098,3312511147,'MS3AB01','msab4is','Loyalty and Enmity','Loyalty and Enmity',0.929
6815792,3321657098,3312473972,'MS3AB01','msab5is','Loyalty and Enmity','Loyalty and Enmity',0.929
6817176,3312511147,3312473972,'msab4is','msab5is','Loyalty and Enmity','Loyalty and Enmity',0.968
6843302,3225988451,374316990,'muhajirad2','Muhajira_72','muhajirah','Muhajirah',0.821
6879805,3343999888,3280844606,'MusabGharieb13','MusabGharieb18','Abu Musab Al Gharieb','Abu Musab Al Gharieb',0.849
6928645,3352416107,3420978077,'MustafaKlashin','MustafaKlashin1','Mustafa al Iraqi','Mustafa al Iraqi',0.863
7000782,2762269642,2743423049,'nazd345','UmAminaAmriki0','Amatullah','Amatullah',0.809
7025896,3313420886,946347294,'nhnhna0000001','nhnhna000002','Veteran return','Veteran return',0.970
7025897,3313420886,2529174606,'nhnhna0000001','nhnhna000121','Veteran return','Veteran return',0.962
7025898,3313420886,3008885301,'nhnhna0000001','nhnhna000122','Veteran return','Veteran return',0.962
